item_id,year,date_norm,date_raw,date_method,title_ascii
ableg_33398004213020,1930,1930,1930-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
footmouthdisease131came,1930,1930,1930-01-01T00:00:00Z,exact,Foot and mouth disease.
lafivreaphteuse131came,1930,1930,1930-01-01T00:00:00Z,exact,La fievre aphteuse.
ableg_33398004213038,1931,1931,1931-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
parasitesofhorse152came,1931,1931,1931-01-01T00:00:00Z,exact,Parasites of horses.
ableg_33398004213046,1932,1932,1932-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
finalreportofleg00albe,1934,1934,1934-01-01T00:00:00Z,exact,Final report of the Legislative Commission appointed to (a) Consider and make recommendations to the next Session of the Legislature as to the best method of making adequate medical and health services available to all the people of Alberta. (b) Report as to the financial arrangements which will be required on an actuarial basis to ensure the same
johnesdiseaseofc167hilt,1934,1934,1934-01-01T00:00:00Z,exact,Johne's disease of cattle.
1935981935pnfld1935eng,1935,1935,1935-01-01T00:00:00Z,exact,"Newfoundland : Census of Newfoundland and Labrador, 1935.Interim report."
ableg_33398004131271,1935,1935,1935-01-01T00:00:00Z,exact,"Annual report of the Department of Public Health, Province of Alberta, including Vital Statistics Branch / 1934"
b249483,1935,1935,1935-01-01T00:00:00Z,exact,"Report of the Inquiry Into the Internal Management of the Ontario Hospital, Mimico"
bovineinfectious150mitc,1935,1935,1935-01-01T00:00:00Z,exact,Bovine infectious abortion or Bang's disease of cattle
ableg_33398004131289,1936,1936,1936-01-01T00:00:00Z,exact,"Annual report of the Department of Public Health, Province of Alberta, including Vital Statistics Branch / 1935"
annualreportofdi1936albe,1936,1936,1936-01-01T00:00:00Z,exact,"Annual Report of the Division of Vital Statistics of the Department of Public Health, Province of Alberta"
1935981935fnfldv11937eng,1937,1937,1937-01-01T00:00:00Z,exact,"Tenth census of Newfoundland and Labrador, 1935. Vol. I. Populatin by districts and settlements"
1935981935fnfldv21937eng,1937,1937,1937-01-01T00:00:00Z,exact,"Tenth census of Newfoundland and Labrador, 1935. v. 2. Families and dwellings, occupations and earnings, buildings."
annualreportofdi1937albe,1937,1937,1937-01-01T00:00:00Z,exact,"Annual Report of the Division of Vital Statistics of the Department of Public Health, Province of Alberta"
coursesofstudygr00onta_68,1937,1937,1937-01-01T00:00:00Z,exact,"Courses of study, grade IX Health and physical education"
bovineinfectious00mitc,1938,1938,1938-01-01T00:00:00Z,exact,Bovine infectious abortion : or Bang's disease of cattle
coursesofstudygr00onta_69,1938,1938,1938-01-01T00:00:00Z,exact,"Courses of study, grades IX and X Health and Physical Education, 1938"
departmentalexam01albe_1,1938,1938,1938-01-01T00:00:00Z,exact,"Departmental examinations, 1938, grade IX / Alberta."
departmentalexam02albe_1,1938,1938,1938-01-01T00:00:00Z,exact,"Departmental examinations, 1938, grade IX / Alberta."
departmentalexam03albe_1,1938,1938,1938-01-01T00:00:00Z,exact,"Departmental examinations, 1938, grade IX / Alberta."
departmentalexam04albe_0,1938,1938,1938-01-01T00:00:00Z,exact,"Departmental examinations, 1938, grade IX / Alberta."
departmentalexam05albe_0,1938,1938,1938-01-01T00:00:00Z,exact,"Departmental examinations, 1938, grade IX / Alberta."
departmentalexam06albe_0,1938,1938,1938-01-01T00:00:00Z,exact,"Departmental examinations, 1938, grade IX / Alberta."
healthhandbookof00onta,1938,1938,1938-01-01T00:00:00Z,exact,"Health, a handbook of suggestions for teachers in Public and separate schools"
promotiontestsgr01albe_1,1938,1938,1938-01-01T00:00:00Z,exact,"Promotion tests, grade VIII, 1938"
promotiontestsgr02albe_0,1938,1938,1938-01-01T00:00:00Z,exact,"Promotion tests, grade VIII, 1938"
promotiontestsgr03albe_0,1938,1938,1938-01-01T00:00:00Z,exact,"Promotion tests, grade VIII, 1938"
courseofstudyfor00onta,1939,1939,1939-01-01T00:00:00Z,exact,"Course of Study for Grades XI and XII in Collegiate Institutes, High, Vocational, and Continuation Schools, Physical Education"
coursesofstudygr00onta_70,1939,1939,1939-01-01T00:00:00Z,exact,"Courses of study, grades IX and X Health and Physical Education, 1939"
coursesofstudygr00onta_71,1940,1940,1940-01-01T00:00:00Z,exact,"Courses of study, grades IX and X Health and Physical Education, 1940"
healthprotcana,1940,1940,1940-01-01T00:00:00Z,exact,Health protection of Canadian farm animals
insectsaffecting00gibs,1940,1940,1940-01-01T00:00:00Z,exact,Insects affecting greenhouse plants
medicaldentalins00onta_1,1940,1940,1940-01-01T00:00:00Z,exact,"Medical and dental inspection: Public and separate schools, 1940 (Circular 56D)"
annualreportofdi1941albe,1941,1941,1941-01-01T00:00:00Z,exact,"Annual Report of the Division of Vital Statistics of the Department of Public Health, Province of Alberta"
31761116350885,1942,1942,,title_extracted,"HEALTH INSURANCE - REPORT OF THE ADVISORY COMMITTEE ON HEALTH INSURANCE APPOINTED BY ORDER IN COUNCIL P.C. 36 DATED FEBRUARY 5, 1942"
coursesofstudygr00onta_72,1942,1942,1942-01-01T00:00:00Z,exact,"Courses of study, grades IX, X, XI and XII Health and physical education, 1942"
coursesofstudygr00onta_73,1942,1942,1942-01-01T00:00:00Z,exact,"Courses of study, grades IX, X, XI and XII, Defense training, health and physical education, 1942"
footmouthdisease00came,1942,1942,1942-01-01T00:00:00Z,exact,Foot and mouth disease
lafivreaphteuse00came,1942,1942,1942-01-01T00:00:00Z,exact,La fievre aphteuse
coursesofstudygr00onta_74,1943,1943,1943-01-01T00:00:00Z,exact,"Courses of study, grades IX, X, XI, XII and XIII, Defense training, health and physical education, 1943"
reportofchildwel00albe,1943,1943,1943-01-01T00:00:00Z,exact,"Report of Child Welfare Committee appointed by Orders-in-Council nos. 913/43 and 1256/43 dated June 11, 1943"
31761075519538,1944,1944,1944-01-01T00:00:00Z,exact,Register of brucellosis-free listed herds as recorded to ..
31761120009725,1944,1944,1944-01-01T00:00:00Z,exact,Register of brucellosis-free listed herds as recorded to ..
31761120009733,1944,1944,1944-01-01T00:00:00Z,exact,Register of brucellosis-free listed herds as recorded to ..
31761120009741,1944,1944,1944-01-01T00:00:00Z,exact,Register of brucellosis-free listed herds as recorded to ..
31761120009758,1944,1944,1944-01-01T00:00:00Z,exact,Register of brucellosis-free listed herds as recorded to ..
betterdentalheal00onta,1944,1944,1944-01-01T00:00:00Z,exact,Better dental health for young people: Suggestions on the teaching of dental health to grades VII and VIII
coursesofstudygr00onta_75,1944,1944,1944-01-01T00:00:00Z,exact,"Courses of study, grades IX, X, XI, XII and XIII, Physical and health education and Cadet training, 1944"
reportofhealthin00albe,1944,1944,1944-01-01T00:00:00Z,exact,Report of Health Insurance Committee of Legislative Assembly of Alberta. 1944
31761115549388,1945,1945,1945-01-01T00:00:00Z,exact,"Annual report of the Department of National Health and Welfare for the fiscal year ended March 31, .."
annualreportofdi1946albe,1946,1946,1946-01-01T00:00:00Z,exact,"Annual Report of the Division of Vital Statistics of the Department of Public Health, Province of Alberta"
coursesofstudygr00onta_76,1946,1946,1946-01-01T00:00:00Z,exact,"Courses of study, grades IX, X, XI, XII and XIII, Physical and health education and Cadet training, 1946"
annualreportofdi1947albe,1947,1947,1947-01-01T00:00:00Z,exact,"Annual Report of the Division of Vital Statistics of the Department of Public Health, Province of Alberta"
annualreportofdi1948albe,1948,1948,1948-01-01T00:00:00Z,exact,"Annual Report of the Division of Vital Statistics of the Department of Public Health, Province of Alberta"
coursesofstudygr00onta_77,1948,1948,1948-01-01T00:00:00Z,exact,"Courses of study, grades IX, X, XI, XII, and XIII, Physical and health education and Citizenship Corps training, 1948"
annualreportofdi1949albe,1949,1949,1949-01-01T00:00:00Z,exact,"Annual Report of the Division of Vital Statistics of the Department of Public Health, Province of Alberta"
changesinfarmfam815macn,1949,1949,1949-01-01T00:00:00Z,exact,"Changes in farm family living in three areas of the Prairie Provinces, from 1942-43 to 1947."
39151509060204,1950,1950,1950-01-01T00:00:00Z,exact,"Employee group life insurance and sickness benefit plans, prepared in Public Health Section, Health and Welfare Division."
oldageincomesecu00cana,1950,1950,1950-01-01T00:00:00Z,exact,OLD AGE INCOME SECURITY PROGRAMS - AUSTRALIA
oldageincomesecu00cana_0,1950,1950,1950-01-01T00:00:00Z,exact,OLD AGE INCOME SECURITY PROGRAMS - NEW ZEALAND
surveyofalbertas00albe,1950,1950,1950-01-01T00:00:00Z,exact,"A Survey of Alberta's Health: A Survey of the Past, A Summary of the Present, and a Recommended Plan for the Future"
31761075519330,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761075519389,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761075519819,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761116812199,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761116812207,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761116821919,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761116821927,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761116898453,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761116898461,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761116898511,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761116898529,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761116898537,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761116898545,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761116898552,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761116898560,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761116898578,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
31761116898586,1951,1951,1951-01-01T00:00:00Z,exact,"Civil defence, Canada"
annualreportofdi1951albe,1951,1951,1951-01-01T00:00:00Z,exact,"Annual Report of the Division of Vital Statistics of the Department of Public Health, Province of Alberta"
31761115549065,1952,1952,1952-01-01T00:00:00Z,exact,Report on the administration of old age assistance in Canada
39062911010077,1952,1952,1952-01-01T00:00:00Z,exact,"DOMINION BUREAU OF STATISTICS, HISTORY, FUNCTION, ORGANIZATION."
b249599,1952,1952,1952-01-01T00:00:00Z,exact,Report [of the] Royal Commission on the East Windsor Health Association
curriculumi51952onta,1952,1952,1952-01-01T00:00:00Z,exact,Curriculum I:5. Intermediate division physical education. Outline of course for experimental use. 1952
intermediatedivi00onta_1,1952,1952,1952-01-01T00:00:00Z,exact,"Intermediate Division Physical Education: Outline of Course for Experimental Use, 1952 (Curriculum 1:5)"
annualreportofdi1953albe,1953,1953,1953-01-01T00:00:00Z,exact,"Annual Report of the Division of Vital Statistics of the Department of Public Health, Province of Alberta"
31761115558611,1954,1954,,title_extracted,OCCUPATIONAL HEALTH SERVICES IN INDUSTRY IN CANADA 1954
31761115566101,1954,1954,,title_extracted,"SPECIALISTS IN CANADA, JUNE 1954 - A SUPPLEMENT TO - SURVEY OF PHYSICIANS IN CANADA, JUNE 1954"
31761115566192,1954,1954,,title_extracted,"SURVEY OF PHYSICIANS IN CANADA, JUNE 1954. 6TH ED"
ableg_33398004131420,1954,1954,1954-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
annualreportofdi1954albe,1954,1954,1954-01-01T00:00:00Z,exact,"Annual Report of the Division of Vital Statistics of the Department of Public Health, Province of Alberta"
ableg_33398004131446,1955,1955,1955-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
ableg_33398004861778,1955,1955,1955-01-01T00:00:00Z,exact,University of Alberta Hospitals Annual Report.
albertaseconomic00gove,1955,1955,1955-01-01T00:00:00Z,exact,Alberta's Economic Prospects
mothersallowance00cana,1955,1955,1955-01-01T00:00:00Z,exact,MOTHERS' ALLOWANCES LEGISLATION IN CANADA
privatesewagedis00albe,1955,1955,1955-01-01T00:00:00Z,exact,Private Sewage Disposal. 1955.
ableg_33398004131461,1956,1956,1956-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
ableg_33398004861836,1956,1956,1956-01-01T00:00:00Z,exact,University of Alberta Hospitals Annual Report.
31761114615115,1957,1957,1957-01-01T00:00:00Z,exact,What the home nursing auxiliary should know about civil defence
31761114615123,1957,1957,1957-01-01T00:00:00Z,exact,Civil defence notebook
ableg_33398004131487,1957,1957,1957-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
ableg_33398004861893,1957,1957,1957-01-01T00:00:00Z,exact,University of Alberta Hospitals Annual Report.
servicesforagedi00cana,1957,1957,1957-01-01T00:00:00Z,exact,SERVICES FOR THE AGED IN CANADA
31761115566333,1958,1958,1958-01-01T00:00:00Z,exact,Lois canadiennes relatives a l'entretien des epouses et enfants abandonnes
31761115567612,1958,1958,,title_extracted,"NATIONAL CIVIL DEFENCE DAY - FRIDAY SEPTEMBER 19, 1958 - PROMOTIONAL GUIDE"
ableg_33398004131503,1958,1958,1958-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
ableg_33398004861240,1958,1958,1958-01-01T00:00:00Z,exact,University of Alberta Hospitals Annual Report.
31761115558421,1959,1959,1959-01-01T00:00:00Z,exact,Economic security for the aged in the United States and Canada : a summary
THEEFFECTSOFENVI00BERR10598.ome,1959,1959,1959-01-01T00:00:00Z,exact,The effects of environment in public health programs
ableg_33398004213228,1959,1959,1959-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
ableg_33398004861711,1959,1959,1959-01-01T00:00:00Z,exact,University of Alberta Hospitals Annual Report.
seniordivisionph00onta,1959,1959,1959-01-01T00:00:00Z,exact,"Senior division physical education, grades 11, 12, and 13, 1959"
31761114665714,2010,2010,2010-01-01T00:00:00Z,exact,Interim report
31761114665839,2010,2010,2010-01-01T00:00:00Z,exact,"Final report, navigating the journey to wellness : the comprehensive mental health and addictions action plan for Ontarians"
31761114683972,2010,2010,2010-01-01T00:00:00Z,exact,"Ontario's electronic health records initiative (Special report of the Auditor General of Ontario, October 2009)"
31761114684079,2010,2010,2010-01-01T00:00:00Z,exact,"Teletriage health services (Section 3.13, 2009 Annual report of the Auditor General of Ontario)"
31761114684186,2010,2010,2010-01-01T00:00:00Z,exact,"Brampton Civic Hospital public-private partnership project (Section 3.03, 2008 Annual report of the Auditor General of Ontario)"
31761117084491,2010,2010,2010-01-01T00:00:00Z,exact,Sustainable development strategy
31761119703312,2010,2010,2010-01-01T00:00:00Z,exact,Maternal and child health : report of the Standing Committee on the Status of Women
31761119708964,2010,2010,2010-01-01T00:00:00Z,exact,Mental health and drug and alcohol addiction in the federal correctional system : report of the Standing Committee on Public Safety and National Security
31761119716967,2010,2010,2010-01-01T00:00:00Z,exact,Promoting innovative solutions to health human resources challenges : report of the Standing Committee on Health
31761119717122,2010,2010,2010-01-01T00:00:00Z,exact,An examination of the potential health impacts of radiofrequency electromagnetic radiation : report of the Standing Committee on Health
31761119717148,2010,2010,2010-01-01T00:00:00Z,exact,The way forward : addressing the elevated rates of tuberculosis infection in on reserve First Nations and Inuit communities : report of the Standing Committee on Health
apple21albe,2010,2010,2010-01-01T00:00:00Z,exact,Apple
apple22albe,2010,2010,2010-01-01T00:00:00Z,exact,Apple
apple23albe,2010,2010,2010-01-01T00:00:00Z,exact,Apple
apple24albe,2010,2010,2010-01-01T00:00:00Z,exact,Apple
apple25albe,2010,2010,2010-01-01T00:00:00Z,exact,Apple
satisfactionexpe2003heal,2010,2010,2010-01-01T00:00:00Z,exact,Satisfaction and experience with health care services : a survey of Albertans ...
permitapplicantg00snsn17602,2011,2011,2011-01-01T00:00:00Z,exact,Permit applicant guide for municipalities and health units : controlling mosquito larvae for prevention and/or control of West Nile virus [May 2011]
std01079796.ome,2011,2011,2011-01-01T00:00:00Z,exact,Permit applicant guide for municipalities and health units : controlling mosquito larvae for prevention and/or control of West Nile virus [May 2011]
stdprod092057.ome,2011,2011,2011-01-01T00:00:00Z,exact,"Screening-level human health risk assessment for Kettle Creek, Port Stanley - PAH contaminated sediment"
thishospitalenc00snsn21447,2011,2011,2011-01-01T00:00:00Z,exact,This Hospital Encourages Trash Talk (poster)
31761115562282,2012,2012,2012-01-01T00:00:00Z,exact,"Industry guide to Health Canada's safety requirements for children's toys and related products, 2012"
31761119716769,2012,2012,2012-01-01T00:00:00Z,exact,Chronic diseases related to aging and health promotion and disease prevention : report of the Standing Committee on Health
31761119716777,2012,2012,2012-01-01T00:00:00Z,exact,Focussing on the brain : an examination of neurological diseases in Canada : report of the Standing Committee on Health
31761119716983,2012,2012,2012-01-01T00:00:00Z,exact,Drug supply in Canada : a multi-stakeholder responsibility : report of the Standing Committee on Health
recommendationsf00snsn21664,2012,2012,2012-01-01T00:00:00Z,exact,Recommendations for the ecological health and sustainable future of lake simcoe and its watershed
ontla_354342,2019,2019,2019-01-01T00:00:00Z,exact,Intermittent Catheters for Chronic Urinary Retention : A Health Technology Assessment
ontla_354347,2019,2019,2019-01-01T00:00:00Z,exact,Compression Stockings for the Prevention of Venous Leg Ulcer Recurrence : A Health Technology Assessment
ontla_354368,2019,2019,2019-01-01T00:00:00Z,exact,Cervical Artificial Disc Replacement Versus Fusion for Cervical Degenerative Disc Disease : A Health Technology Assessment
ontla_354376,2019,2019,2019-01-01T00:00:00Z,exact,"Schedule of Benefits : Dental Services Under the Health Insurance Act (May 1, 2019 (effective January 1, 2020))"
ontla_354377,2019,2019,2019-01-01T00:00:00Z,exact,"Recommendations for the Prevention, Detection and Management of Occupational Contact Dermatitis in Health Care Settings"
ontla_354378,2019,2019,2019-01-01T00:00:00Z,exact,"Noninvasive Prenatal Testing for Trisomies 21, 18, and 13, Sex Chromosome Aneuploidies, and Microdeletions : A Health Technology Assessment"
ontla_354379,2019,2019,2019-01-01T00:00:00Z,exact,Perspectives of Pregnant People and Clinicians on Noninvasive Prenatal Testing : A Systematic Review and Qualitative Meta-synthesis
ontla_354385,2019,2019,2019-01-01T00:00:00Z,exact,Internet-Delivered Cognitive Behavioural Therapy for Major Depression and Anxiety Disorders : A Health Technology Assessment
ontla_354397,2019,2019,2019-01-01T00:00:00Z,exact,Osseointegrated Prosthetic Implants for People With Lower-Limb Amputation : A Health Technology Assessment
ontla_354399,2019,2019,2019-01-01T00:00:00Z,exact,Flash Glucose Monitoring System for People with Type 1 or Type 2 Diabetes : A Health Technology Assessment
ontla_354400,2019,2019,2019-01-01T00:00:00Z,exact,"Minimally Invasive Glaucoma Surgery: A Budget Impact Analysis and Evaluation of Patients' Experiences, Preferences, and Values"
ontla_354454,2019,2019,2019-01-01T00:00:00Z,exact,Ontario Health Teams : Digital Health Playbook
ontla_354454-f,2019,2019,2019-01-01T00:00:00Z,exact,Ontario Health Teams : Digital Health Playbook
ontla_354475,2019,2019,2019-01-01T00:00:00Z,exact,Ontario Health Teams : Guidance for Health Care Providers and Organizations
ontla_354475-f,2019,2019,2019-01-01T00:00:00Z,exact,Ontario Health Teams : Guidance for Health Care Providers and Organizations
ontla_354899,2019,2019,2019-01-01T00:00:00Z,exact,"Report of the Supervisor, Brant Community Health System (BCHS) :"
ontla_354899-f,2019,2019,2019-01-01T00:00:00Z,exact,"Report of the Supervisor, Brant Community Health System (BCHS) :"
ontla_354723,2020,2020,2020-01-01T00:00:00Z,exact,Some Ontario workers at increased risk of lung cancer
